source_pdf,query,answer
Organic framing guide.pdf,How to seed treatment for Chickpea?,"Spacing (row X plant) in cm 30 × 10 Basal application of organic Source Quantity/ha manures including soilFYM 1.33 tonnes application of bio-fertilizers, Vermicompost 0.53 tonnesbio-control agents etc Neemcack 0.13 tonnes Rock phosphate 0.27 tonnes"
Organic framing guide.pdf,How to irrigation for Chickpea?,practices Number of Most critical Depth of
Organic framing guide.pdf,How to irrigation for Chickpea?,"2 Flowering and 2-3 pod filling. Major weeds Bathua - Lambsquarters ( Chenopodium album ), Safed senji - White sweet clover ( Melilotus alba ), Krishna neel - Scarlet pipmpernel (Anagallis arvensis ), Chinouri - Medick ( Medicago denticulate), Sava - Barnyard grass (Echinochloa colona) , Motha ( Cyperus spp. )"
Organic framing guide.pdf,How to weed management for Chickpea?,"Critical stage Recommended practice for organic conditionof weeding 25-30 DAS Hand weeding or hand hoe/cycle hoe Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol Gram pod borer HaNPV 250 LE/ha 3 spray at weekly interval. Trichogramma spp. 50000 eggs/ha Pheromone trap 5-8 nos. 100 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Yield Year 2004-05 2005-06 2006-07 2007-08 2008-09 Mean Economic yield (kg/ha) 770 1480 1090 610 957 981 Neem cake Vermicopost F.Y.M. Kharif Rabi Organic soybean before"
Organic framing guide.pdf,How to harvesting for Chickpea?,"Organic chickpea Organic soybean growth stage Organic chickpea pod setting stageKharif Rabi 101 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Onion Particulars Rabi Crop Onion Sowing/planting First fortnight of December"
Organic framing guide.pdf,How to harvesting for Chickpea?,First fortnight of April Variety Nasik red Important features of suitable variety Variety Nasik Red Duration (days) 100-110 Average yield under organic condition (kg/ha) 8000-12000 Source (s) of availability Raipur Local Market Suitable regions/districts in the state Chhattisgarh plains Nursery raising practices Area of nursery required for 1 ha 500 m2 Nursery raising method raised bed method Bed size (length X breadth in m) 5 × 1 Seed sowing rate/m220 g Source and optimum quantity of Materials Quantity/ m2area Method of organic manures/other nutrient application source/m2 of nursery Vermicomp...
Organic framing guide.pdf,How to irrigation for Chickpea?,practices First come up
Organic framing guide.pdf,How to irrigation for Chickpea?,after sowing and next 7-10 days interval
Organic framing guide.pdf,How to weed management for Chickpea?,"One hand weeding 25-30 days after sowing Optimum age of nursery (days) 40-45 Field preparation: One deep ploughing followed by two harrowing and planking applied for field preparation. Cultural practices Spacing (row × plant) in cm 15 × 10 Number of seedlings/hill 1 102 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Basal application of organic Source Quantity/ha manuresFYM 5 tonnes Vermicompost 2 tonnes Neem cake 0.5 tonnesRock phosphate 0.27 tonnes"
Organic framing guide.pdf,How to irrigation for Chickpea?,"6-8 Formation of bulb 3 - 4 Major weeds Amarbel – Dodder ( Cuscuta spp), Bathua - Lambsquarters (Chenopodium album), Choulai – Green amarenth ( Amaranthus viridis), Safed senji – White sweet clover ( Melilotus alba ), Sava – Barnyard grass ( Echinochloa colona ), Motha - ( Cyperus spp .) and Chanori – Medick ( Medicago denticulate )"
Organic framing guide.pdf,How to weed management for Chickpea?,Critical stage Recommended practice for organic conditionof weeding 20-25 and Hand weeding and interculture45-50 DAS Optimum stage of
Organic framing guide.pdf,How to harvesting for Chickpea?,"100-110 days Yield Year 2009-10 2010-11 2011-12 2012-13 Mean Economic yield (kg/ha) 9070 11800 13260 13170 11825 Organic onion produce Organic onion growth stage 103 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to harvesting for Rice?,"First fortnight of November Variety Kasturi and Sugundhmati Important features of suitable varieties Varieties Kasturi Sugandhmati Duration (days) 120-130 135-140 Average yield under organic condition 3500-4000 3500-4000 (kg/ha) Source (s) of availability Na tional seed project, National seed project, IGKV, Raipur IGKV, Raipur Suitable regions/districts in the state Chhattisgarh Plain zone Chhattisgarh Plain zoneSpecific resistance / tolerance to pest Stem borer tolerance Specific resistance / tolerance to disease Blast resistance Nursery raising practices Area of nursery required for 1 ha 100..."
Organic framing guide.pdf,How to irrigation for Rice?,"practices 6-7 days interval Optimum age of nursery (days) 21-25 days 104 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Field preparation: Sowing of sunhemp should be done during May month for green manuring purpose and incorporated in the field at vegetative stage around 40-45 DAS. For incorporation of the green manure impound the water in the field and after that plough thefield twice and use rotavator once for proper incorporation and puddling..."
Organic framing guide.pdf,How to irrigation for Rice?,practices Number of Most critical stages Depth of
Organic framing guide.pdf,How to irrigation for Rice?,"(cm) 5-6 Tillerig & grain filling 5-7 Major weeds Sava – Barnyard grass ( Echinochloa colona, Echinochloa crus-galli ) Motha (Cyperus spp .), Kauva keni – Benghal day flower ( Commelina benghalensis), Resham Kanta – Sessil joyweed (Alternanthera sessilis), Kana – Creeping cradle plant (Cynotis axillaris) etc."
Organic framing guide.pdf,How to weed management for Rice?,Critical stage of Recommended practiceweeding for organic condition 20 DAT and 10-15 days Ambika Paddy weeder interval thereafter...
Organic framing guide.pdf,How to harvesting for Maize?,"Oct ober Variety Girija Important features of suitable variety Variety Girija Duration (days) 115 Average yield under organic condition (kg/ha) 4603Source (s) of availability CSK HPKV, PalampurSuitable regions/districts in the state Kullu, Mandi, Chamba Specific tolerance to drought/water logging Yes Field preparation: Irrigate the field and then plough disc harrow and thereafter plough with power tiller twice and thereafter follow planking to maintain proper moisture in the field. Prepare plain beds and keep trenches in between and around the field for water drainage..."
Organic framing guide.pdf,How to irrigation for Maize?,practices Number of Most critical stages Depth of
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 4-5 3-4 leaf stage, 4-5 tasseling, grainfilling etc. Major weeds Local name Common name Scientific name Doob grass - C ynadon dactylon Motha Purple nutsedge Cyperus spefies Baru Johnson grass Sorghum halepense Jhanda Water grass Echinochloa colonum"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage of Recommended practice for organic conditionweeding 4 leaf stage, 1 Manual month after firstweeding andat taselling 108 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control Cut-worms Through cultural 4- 5 flood"
Organic framing guide.pdf,How to irrigation for Maize?,spractices like flood and digging trench
Organic framing guide.pdf,How to irrigation for Maize?,and of size 20 cm deep formation of trenches and 20 cm wide around the field Optimum stage of
Organic framing guide.pdf,How to harvesting for Maize?,"When the cob covering turns brown and the moisture in cobs isnear 30% Yield Year 2004- 2005- 2006- 2007- 2008- 2009- 2010- 2011- 2012- Mean 05 06 07 08 09 10 11 12 13 Economic yield (kg/ha) 3143 2823 3030 3572 3800 5950 6018 5654 7440 4603 Organic maize Organic maize growth stage 109 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Garlic Important features of suitable variety Variety GHC-1 Duration (days) 220 Average yield under organic condition (kg/ha) 8035 Source (s) of availability University Suitable regions/districts in the state Kullu, Mandi, Solan, Shimla,Kangra Spe..."
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 5-6 15 DAS, 3 leaf, 4-5 initiation of clove formation, 30 daysbefore"
Organic framing guide.pdf,How to harvesting for Maize?,"Major weeds Local name Common name Scientific name Jaldhar Corn Butter Cup Ranunculus arvensis 110 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Poa grass Annual blue grass Poa annua Maina/Khukhni Bur clover Medicago denticulate"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 3 leaf, clove Manual formation, 35 days before"
Organic framing guide.pdf,How to harvesting for Maize?,Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control Purple Blotch Cow urine+ 30 L/300 L Butter milk water/ha+30 L/300 L water/ha Stemphylium Trichoderma viride + 0.30 gm/m2 each blight Pseudomonas fluorescence Optimum stage of
Organic framing guide.pdf,How to harvesting for Maize?,"When leaf colour changes to yellow and starts drying Yield Year 2004- 2005- 2006- 2007- 2008- 2009- 2010- 2011- 2012- Mean 05 06 07 08 09 10 11 12 13 Economic yield (kg/ha) 6082 4420 4600 9000 9640 9640 8644 10840 9450 8035 Organic garlic crop in field Organic garlic 111 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Cauliflower Particulars Kharif Crop Cauliflower Sowing/planting August"
